Gene	Uniprot	Breast cancer	Cervical cancer	Colorectal cancer	Endometrial cancer	Glioma	Head and neck cancer	Liver cancer	Lung cancer	Melanoma	Ovarian cancer	Pancreatic cancer	Prostate cancer	Renal cancer	Stomach cancer	Testis cancer	Thyroid cancer	Urothelial cancer
PYCR2	Q96C36	unprognostic (1.11e-1)	unprognostic (8.08e-2)	prognostic unfavourable (5.02e-5)	unprognostic (2.91e-2)	unprognostic (1.76e-1)	unprognostic (1.03e-1)	unprognostic (4.20e-3)	unprognostic (1.56e-2)	unprognostic (6.89e-2)	unprognostic (1.12e-1)	unprognostic (9.07e-3)	unprognostic (1.56e-1)	prognostic unfavourable (1.42e-6)	unprognostic (9.69e-2)	unprognostic (2.61e-1)	unprognostic (6.44e-2)	unprognostic (1.16e-3)
EIF5B	O60841	unprognostic (1.23e-1)	unprognostic (6.94e-2)	unprognostic (2.01e-1)	unprognostic (5.03e-2)	unprognostic (4.65e-2)	unprognostic (5.88e-3)	prognostic unfavourable (7.15e-10)	unprognostic (6.80e-2)	unprognostic (9.84e-3)	prognostic favourable (8.99e-4)	unprognostic (1.68e-2)	unprognostic (2.36e-1)	prognostic unfavourable (1.42e-6)	unprognostic (6.89e-2)	unprognostic (3.24e-2)	unprognostic (1.43e-1)	unprognostic (7.93e-3)
KRT13	P13646	unprognostic (1.45e-1)	unprognostic (6.23e-2)	unprognostic (1.37e-1)	unprognostic (2.19e-2)	unprognostic (9.30e-5)	unprognostic (7.30e-3)		unprognostic (1.95e-1)	unprognostic (1.77e-1)	unprognostic (5.81e-3)	prognostic unfavourable (1.02e-4)	unprognostic (3.16e-1)	prognostic unfavourable (1.45e-6)	unprognostic (1.80e-1)	unprognostic (2.76e-1)	unprognostic (3.04e-2)	unprognostic (4.33e-1)
ACAN		unprognostic (2.69e-3)	unprognostic (4.09e-2)	unprognostic (2.52e-1)	unprognostic (1.82e-1)	unprognostic (4.43e-2)	unprognostic (2.13e-2)	unprognostic (1.40e-2)	unprognostic (1.15e-1)	unprognostic (7.12e-2)	unprognostic (8.57e-2)	unprognostic (2.34e-1)	unprognostic (2.38e-2)	prognostic unfavourable (1.47e-6)	unprognostic (7.79e-2)	unprognostic (1.53e-1)	unprognostic (7.71e-2)	unprognostic (7.27e-2)
CDCA4	Q9BXL8	unprognostic (2.22e-3)	unprognostic (1.84e-1)	unprognostic (2.69e-1)	unprognostic (9.93e-3)	unprognostic (1.42e-1)	unprognostic (8.36e-2)	prognostic unfavourable (4.19e-4)	prognostic unfavourable (7.94e-4)	unprognostic (4.20e-2)	unprognostic (8.54e-2)	prognostic unfavourable (6.67e-4)	unprognostic (6.73e-2)	prognostic unfavourable (1.47e-6)	unprognostic (2.15e-1)	unprognostic (1.55e-1)	unprognostic (7.50e-2)	unprognostic (1.24e-2)
SIRPG	Q9P1W8	unprognostic (3.35e-3)	unprognostic (4.09e-3)	unprognostic (7.32e-3)	prognostic favourable (1.05e-6)	unprognostic (4.23e-3)	prognostic favourable (2.24e-4)	unprognostic (4.49e-2)	unprognostic (1.30e-2)	prognostic favourable (7.36e-7)	unprognostic (1.62e-2)	unprognostic (6.90e-2)	unprognostic (2.52e-1)	prognostic unfavourable (1.47e-6)	unprognostic (1.03e-1)	unprognostic (2.18e-1)	unprognostic (1.40e-2)	unprognostic (2.95e-3)
MCHR1	Q99705	unprognostic (3.37e-2)	unprognostic (1.37e-2)	unprognostic (2.45e-3)	unprognostic (2.68e-1)	unprognostic (2.84e-3)	unprognostic (4.92e-3)	unprognostic (4.51e-3)	unprognostic (1.19e-2)	unprognostic (1.58e-2)	unprognostic (9.35e-4)	unprognostic (3.05e-1)	unprognostic (2.26e-1)	prognostic unfavourable (1.49e-6)	unprognostic (3.07e-2)	unprognostic (5.40e-2)	unprognostic (2.42e-1)	unprognostic (3.91e-2)
PIK3R6	Q5UE93	unprognostic (4.29e-2)	unprognostic (8.56e-3)	unprognostic (9.39e-2)	unprognostic (5.96e-3)	unprognostic (2.46e-1)	unprognostic (5.25e-3)	unprognostic (4.50e-3)	unprognostic (2.29e-2)	unprognostic (3.12e-2)	unprognostic (3.14e-1)	unprognostic (2.20e-2)	unprognostic (1.38e-1)	prognostic unfavourable (1.50e-6)	unprognostic (3.45e-1)	unprognostic (3.91e-2)	unprognostic (2.68e-1)	unprognostic (8.98e-2)
COPS7B	Q9H9Q2	unprognostic (3.21e-1)	unprognostic (1.59e-1)	unprognostic (6.25e-3)	unprognostic (3.59e-3)	unprognostic (3.50e-1)	unprognostic (4.77e-2)	prognostic unfavourable (8.37e-6)	unprognostic (1.19e-1)	unprognostic (4.81e-2)	unprognostic (1.89e-1)	unprognostic (5.77e-2)	unprognostic (1.98e-1)	prognostic unfavourable (1.50e-6)	unprognostic (2.37e-2)	unprognostic (1.39e-1)	unprognostic (6.64e-2)	unprognostic (1.55e-3)
CCDC112	Q8NEF3	unprognostic (1.88e-2)	unprognostic (5.10e-2)	unprognostic (4.63e-2)	unprognostic (5.60e-3)	unprognostic (2.95e-1)	unprognostic (1.21e-1)	unprognostic (2.32e-6)	unprognostic (4.30e-2)	unprognostic (3.24e-1)	unprognostic (4.41e-2)	unprognostic (3.33e-1)	unprognostic (2.64e-1)	prognostic unfavourable (1.51e-6)	unprognostic (7.00e-2)	unprognostic (2.79e-2)	unprognostic (8.61e-2)	unprognostic (4.10e-3)
COMP	P49747	unprognostic (1.26e-1)	unprognostic (7.22e-2)	prognostic unfavourable (9.08e-5)	prognostic unfavourable (2.04e-4)	unprognostic (8.05e-2)	unprognostic (8.45e-2)	unprognostic (3.62e-2)	unprognostic (5.12e-2)	unprognostic (1.65e-1)	unprognostic (1.55e-2)	unprognostic (2.18e-2)	unprognostic (3.85e-1)	prognostic unfavourable (1.52e-6)	unprognostic (5.96e-3)	unprognostic (1.44e-1)	unprognostic (2.87e-2)	prognostic unfavourable (6.95e-4)
SYNPO	Q8N3V7	unprognostic (2.09e-2)	unprognostic (7.72e-3)	unprognostic (3.95e-2)	unprognostic (2.78e-3)	unprognostic (3.07e-2)	unprognostic (1.66e-2)	unprognostic (1.76e-1)	unprognostic (1.41e-2)	unprognostic (1.90e-1)	unprognostic (1.21e-1)	unprognostic (1.17e-1)	unprognostic (4.86e-2)	prognostic unfavourable (1.53e-6)	unprognostic (1.23e-1)	unprognostic (5.72e-2)	unprognostic (2.21e-2)	unprognostic (6.35e-2)
SLC25A32	Q9H2D1	unprognostic (2.45e-3)	unprognostic (8.19e-2)	unprognostic (3.87e-3)	prognostic unfavourable (7.23e-4)	unprognostic (2.06e-2)	unprognostic (6.50e-3)	unprognostic (1.22e-2)	prognostic unfavourable (2.09e-4)	unprognostic (9.47e-2)	unprognostic (8.43e-2)	unprognostic (2.08e-1)	unprognostic (9.21e-2)	prognostic unfavourable (1.53e-6)	unprognostic (7.82e-2)	unprognostic (2.12e-1)	unprognostic (1.62e-1)	unprognostic (4.49e-2)
NENF	Q9UMX5	unprognostic (2.38e-3)	unprognostic (1.18e-1)	unprognostic (1.23e-1)	unprognostic (2.49e-2)	unprognostic (7.24e-2)	unprognostic (7.41e-3)	unprognostic (3.80e-3)	unprognostic (5.35e-2)	unprognostic (1.70e-2)	unprognostic (1.95e-1)	unprognostic (1.46e-3)	unprognostic (4.99e-3)	prognostic unfavourable (1.54e-6)	unprognostic (2.01e-1)	unprognostic (1.26e-1)	unprognostic (4.28e-1)	unprognostic (2.28e-2)
FLNA	P21333	unprognostic (1.39e-1)	unprognostic (9.40e-3)	prognostic unfavourable (7.37e-4)	unprognostic (3.68e-2)	unprognostic (2.55e-1)	unprognostic (6.05e-3)	unprognostic (5.08e-2)	unprognostic (1.08e-1)	unprognostic (6.02e-2)	unprognostic (1.30e-1)	unprognostic (3.23e-2)	unprognostic (9.58e-2)	prognostic unfavourable (1.54e-6)	unprognostic (5.49e-3)	unprognostic (1.78e-1)	unprognostic (1.62e-1)	prognostic unfavourable (3.88e-4)
PFDN5	Q99471	unprognostic (3.56e-3)	unprognostic (2.31e-2)	unprognostic (2.87e-2)	unprognostic (4.02e-3)	unprognostic (1.59e-1)	unprognostic (3.44e-1)	unprognostic (3.44e-2)	unprognostic (1.99e-2)	unprognostic (2.65e-2)	unprognostic (2.12e-1)	prognostic favourable (5.45e-4)	unprognostic (1.27e-1)	prognostic unfavourable (1.54e-6)	unprognostic (5.34e-2)	unprognostic (9.48e-2)	unprognostic (2.30e-2)	unprognostic (2.01e-3)
PROM2	Q8N271	prognostic unfavourable (2.16e-4)	unprognostic (1.60e-1)	unprognostic (1.41e-1)	unprognostic (1.86e-2)	unprognostic (1.76e-1)	unprognostic (7.30e-2)	unprognostic (2.23e-1)	unprognostic (1.70e-2)	unprognostic (1.37e-1)	unprognostic (1.12e-1)	prognostic unfavourable (2.90e-4)	unprognostic (1.26e-1)	prognostic unfavourable (1.55e-6)	unprognostic (1.46e-2)	unprognostic (4.59e-1)	unprognostic (5.24e-2)	unprognostic (2.50e-2)
ABCC1	P33527	unprognostic (9.97e-2)	unprognostic (2.06e-1)	unprognostic (2.05e-2)	unprognostic (2.94e-1)	unprognostic (4.89e-2)	unprognostic (1.15e-1)	prognostic unfavourable (5.42e-5)	unprognostic (3.42e-1)	unprognostic (3.31e-1)	unprognostic (4.07e-2)	unprognostic (9.78e-3)	unprognostic (7.19e-2)	prognostic unfavourable (1.55e-6)	unprognostic (1.84e-1)	unprognostic (1.15e-1)	unprognostic (1.43e-2)	unprognostic (1.80e-2)
NME2	P22392	unprognostic (7.21e-3)	prognostic unfavourable (4.74e-4)	unprognostic (4.85e-2)	unprognostic (1.15e-2)	unprognostic (8.86e-2)	unprognostic (1.42e-2)	prognostic unfavourable (7.09e-4)	unprognostic (6.62e-3)	unprognostic (5.68e-2)	unprognostic (2.31e-1)	unprognostic (1.38e-1)	unprognostic (6.41e-2)	prognostic unfavourable (1.55e-6)	unprognostic (2.82e-1)	unprognostic (9.09e-2)	unprognostic (8.87e-2)	unprognostic (3.19e-2)
GALK1	P51570	unprognostic (1.16e-1)	unprognostic (1.33e-2)	unprognostic (1.81e-2)	unprognostic (2.94e-2)	unprognostic (1.00e-1)	unprognostic (2.21e-1)	unprognostic (1.29e-1)	unprognostic (7.82e-2)	unprognostic (2.26e-1)	unprognostic (7.04e-2)	unprognostic (1.06e-1)	unprognostic (2.35e-2)	prognostic unfavourable (1.55e-6)	unprognostic (3.04e-1)	unprognostic (1.71e-1)	unprognostic (2.77e-1)	prognostic unfavourable (1.62e-5)
ZNF267	Q14586	unprognostic (2.73e-2)	unprognostic (4.24e-2)	unprognostic (1.61e-1)	unprognostic (1.05e-1)	unprognostic (4.84e-2)	unprognostic (6.24e-2)	unprognostic (5.60e-3)	unprognostic (8.64e-2)	unprognostic (6.73e-2)	unprognostic (1.31e-1)	unprognostic (3.60e-2)	unprognostic (2.75e-2)	prognostic unfavourable (1.58e-6)	unprognostic (2.34e-1)	unprognostic (3.34e-2)	unprognostic (3.95e-1)	unprognostic (8.21e-2)
C1QA	P02745	unprognostic (1.97e-1)	unprognostic (1.14e-2)	unprognostic (1.98e-3)	unprognostic (3.07e-2)	unprognostic (6.10e-2)	unprognostic (2.60e-1)	unprognostic (1.16e-1)	unprognostic (2.13e-1)	unprognostic (1.67e-2)	unprognostic (1.99e-1)	unprognostic (4.42e-2)	unprognostic (1.86e-1)	prognostic unfavourable (1.58e-6)	unprognostic (1.54e-1)	unprognostic (2.11e-3)	unprognostic (2.75e-2)	unprognostic (7.30e-2)
GLT8D2	Q9H1C3	unprognostic (4.02e-1)	prognostic unfavourable (7.37e-4)	unprognostic (9.53e-2)	unprognostic (4.56e-2)	unprognostic (1.92e-2)	unprognostic (1.71e-1)	unprognostic (4.34e-3)	unprognostic (2.57e-1)	unprognostic (1.25e-1)	unprognostic (7.55e-2)	unprognostic (5.03e-2)	unprognostic (8.87e-2)	prognostic unfavourable (1.58e-6)	prognostic unfavourable (7.92e-4)	unprognostic (7.15e-2)	unprognostic (7.70e-3)	unprognostic (7.03e-3)
FASLG	P48023	unprognostic (1.09e-3)	unprognostic (1.41e-2)	unprognostic (8.69e-2)	unprognostic (1.54e-7)	unprognostic (3.29e-1)	unprognostic (2.23e-3)	unprognostic (5.44e-2)	unprognostic (1.84e-2)	unprognostic (4.67e-2)	unprognostic (4.76e-2)	unprognostic (8.88e-2)	unprognostic (1.07e-1)	prognostic unfavourable (1.59e-6)	unprognostic (3.49e-2)	unprognostic (1.22e-1)	unprognostic (1.15e-2)	unprognostic (3.82e-3)
ARAP3	Q8WWN8	unprognostic (1.98e-1)	unprognostic (4.88e-2)	unprognostic (9.30e-2)	unprognostic (1.31e-1)	unprognostic (5.58e-2)	unprognostic (5.26e-2)	unprognostic (3.77e-3)	unprognostic (9.76e-2)	unprognostic (3.43e-2)	unprognostic (1.39e-1)	unprognostic (4.42e-1)	unprognostic (1.05e-1)	prognostic unfavourable (1.59e-6)	unprognostic (4.96e-2)	unprognostic (1.73e-1)	unprognostic (9.41e-2)	unprognostic (1.98e-2)
HSD3B7	Q9H2F3	unprognostic (5.41e-3)	unprognostic (4.14e-3)	prognostic unfavourable (5.95e-4)	unprognostic (2.62e-2)	unprognostic (5.06e-3)	unprognostic (1.47e-2)	unprognostic (3.52e-2)	unprognostic (1.85e-1)	unprognostic (2.04e-2)	unprognostic (1.76e-1)	unprognostic (3.20e-2)	unprognostic (2.81e-1)	prognostic unfavourable (1.60e-6)	unprognostic (2.45e-1)	unprognostic (1.12e-1)	unprognostic (1.58e-1)	unprognostic (1.79e-1)
CYP2S1	Q96SQ9	unprognostic (1.49e-2)	unprognostic (7.45e-2)	unprognostic (2.45e-2)	unprognostic (6.03e-2)	unprognostic (3.93e-2)	unprognostic (7.46e-2)	unprognostic (1.27e-2)	unprognostic (4.85e-2)	unprognostic (2.18e-1)	unprognostic (1.54e-2)	unprognostic (6.25e-3)	unprognostic (1.25e-1)	prognostic unfavourable (1.60e-6)	unprognostic (1.06e-1)	unprognostic (1.10e-1)	unprognostic (1.02e-1)	unprognostic (7.66e-2)
S100A3	P33764	unprognostic (3.90e-2)	unprognostic (1.60e-1)	unprognostic (3.59e-2)	unprognostic (1.21e-2)	unprognostic (4.53e-2)	unprognostic (5.37e-3)	unprognostic (1.48e-1)	unprognostic (2.36e-1)	unprognostic (2.46e-1)	unprognostic (2.08e-1)	unprognostic (5.34e-3)	unprognostic (3.97e-3)	prognostic unfavourable (1.61e-6)	unprognostic (8.13e-2)	unprognostic (3.46e-1)	unprognostic (6.21e-2)	unprognostic (8.10e-2)
MRPL55	Q7Z7F7	unprognostic (4.84e-2)	unprognostic (3.63e-2)	unprognostic (6.10e-3)	unprognostic (3.03e-2)	unprognostic (7.49e-2)	unprognostic (2.71e-1)	unprognostic (2.79e-1)	unprognostic (1.22e-2)	unprognostic (4.15e-1)	prognostic favourable (6.76e-4)	unprognostic (6.09e-3)	unprognostic (1.54e-2)	prognostic unfavourable (1.62e-6)	unprognostic (5.54e-2)	unprognostic (8.23e-2)	unprognostic (1.12e-1)	unprognostic (1.36e-1)
KCNJ8	Q15842	unprognostic (8.12e-3)	unprognostic (1.89e-1)	prognostic unfavourable (9.29e-4)	unprognostic (7.81e-2)	unprognostic (8.71e-2)	unprognostic (2.34e-1)	unprognostic (3.15e-2)	unprognostic (1.27e-1)	unprognostic (1.36e-2)	unprognostic (3.90e-2)	unprognostic (3.66e-3)	unprognostic (2.88e-2)	prognostic unfavourable (1.62e-6)	unprognostic (4.70e-3)	unprognostic (9.61e-2)	unprognostic (1.73e-2)	unprognostic (3.54e-3)
ARPC1B	O15143	unprognostic (5.94e-2)	unprognostic (2.40e-2)	unprognostic (2.84e-3)	unprognostic (2.47e-2)	unprognostic (1.43e-2)	unprognostic (2.69e-2)	prognostic unfavourable (2.57e-4)	unprognostic (4.37e-2)	unprognostic (7.76e-2)	unprognostic (1.02e-2)	unprognostic (1.56e-1)	unprognostic (4.86e-1)	prognostic unfavourable (1.62e-6)	unprognostic (1.18e-1)	unprognostic (1.87e-2)	unprognostic (1.24e-1)	unprognostic (7.27e-2)
LIN37	Q96GY3	unprognostic (7.10e-2)	unprognostic (1.32e-1)	unprognostic (7.07e-2)	unprognostic (2.45e-3)	unprognostic (7.77e-3)	unprognostic (5.85e-3)	unprognostic (1.62e-2)	unprognostic (1.07e-1)	unprognostic (2.93e-1)	unprognostic (2.56e-1)	prognostic favourable (1.67e-4)	unprognostic (9.88e-3)	prognostic unfavourable (1.62e-6)	unprognostic (2.53e-2)	unprognostic (8.89e-2)	unprognostic (4.35e-1)	unprognostic (5.14e-2)
EDEM3	Q9BZQ6	unprognostic (1.74e-1)	unprognostic (1.64e-2)	unprognostic (3.08e-2)	unprognostic (2.67e-2)	unprognostic (2.30e-1)	unprognostic (3.10e-2)	unprognostic (7.52e-3)	unprognostic (1.82e-1)	unprognostic (7.06e-2)	unprognostic (1.66e-1)	unprognostic (1.66e-1)	unprognostic (3.53e-2)	prognostic unfavourable (1.63e-6)	unprognostic (4.72e-2)	unprognostic (1.29e-1)	unprognostic (1.08e-2)	unprognostic (2.01e-1)
FABP7	O15540	prognostic favourable (2.49e-4)	unprognostic (1.56e-2)		unprognostic (2.53e-3)	unprognostic (5.80e-2)	unprognostic (2.29e-1)		unprognostic (1.14e-1)	unprognostic (7.11e-2)		unprognostic (2.09e-2)	unprognostic (3.42e-2)	prognostic unfavourable (1.65e-6)	unprognostic (9.83e-2)	unprognostic (1.30e-2)	unprognostic (2.50e-1)	unprognostic (8.66e-2)
SERPINB9	P50453	unprognostic (6.82e-3)	unprognostic (8.59e-2)	unprognostic (1.39e-1)	unprognostic (1.25e-1)	unprognostic (4.06e-1)	unprognostic (1.50e-1)	unprognostic (3.12e-2)	unprognostic (9.48e-2)	unprognostic (2.12e-2)	unprognostic (3.83e-3)	unprognostic (1.06e-1)	unprognostic (9.85e-2)	prognostic unfavourable (1.66e-6)	unprognostic (9.90e-2)	unprognostic (8.56e-2)	unprognostic (1.27e-1)	unprognostic (3.76e-2)
AARSD1	Q9BTE6	unprognostic (2.85e-3)	unprognostic (9.78e-2)	unprognostic (1.67e-1)	unprognostic (8.53e-2)	unprognostic (2.51e-1)	unprognostic (1.10e-1)	unprognostic (3.58e-2)	unprognostic (7.41e-2)	unprognostic (1.38e-2)	unprognostic (1.09e-1)	unprognostic (1.19e-3)	unprognostic (6.95e-2)	prognostic unfavourable (1.67e-6)	unprognostic (2.20e-1)	unprognostic (2.51e-1)	unprognostic (3.73e-2)	unprognostic (4.69e-3)
CXCR3	P49682	unprognostic (4.84e-3)	unprognostic (3.05e-3)	unprognostic (1.61e-1)	prognostic favourable (3.44e-6)	unprognostic (3.93e-2)	prognostic favourable (3.35e-4)	unprognostic (1.01e-2)	unprognostic (5.24e-2)	prognostic favourable (2.90e-4)	unprognostic (6.32e-2)	unprognostic (1.34e-1)	unprognostic (2.39e-1)	prognostic unfavourable (1.67e-6)	unprognostic (4.67e-2)	unprognostic (2.18e-1)	unprognostic (2.91e-2)	unprognostic (5.76e-2)
MED30	Q96HR3	unprognostic (1.15e-1)	unprognostic (1.90e-1)	unprognostic (3.86e-2)	unprognostic (1.57e-2)	unprognostic (1.46e-1)	unprognostic (3.20e-2)	unprognostic (2.00e-2)	unprognostic (3.33e-2)	unprognostic (8.41e-2)	unprognostic (4.02e-2)	unprognostic (1.51e-2)	unprognostic (7.73e-2)	prognostic unfavourable (1.70e-6)	unprognostic (5.38e-3)	unprognostic (2.80e-1)	unprognostic (1.05e-1)	unprognostic (4.62e-2)
NDUFAF8	A1L188	unprognostic (4.33e-3)	unprognostic (2.01e-1)	unprognostic (1.04e-1)	unprognostic (4.62e-2)	unprognostic (1.97e-1)	unprognostic (9.32e-2)	unprognostic (3.06e-1)	unprognostic (4.21e-2)	unprognostic (2.60e-1)	unprognostic (2.71e-2)	unprognostic (2.40e-3)	unprognostic (2.31e-1)	prognostic unfavourable (1.70e-6)	unprognostic (5.74e-2)	unprognostic (2.00e-1)	unprognostic (1.54e-1)	unprognostic (1.05e-2)
PSMB3	P49720	unprognostic (1.86e-1)	unprognostic (4.84e-3)	unprognostic (1.44e-1)	unprognostic (4.80e-2)	unprognostic (6.68e-2)	unprognostic (1.14e-3)	unprognostic (5.46e-2)	unprognostic (2.46e-2)	unprognostic (2.02e-1)	unprognostic (1.75e-2)	unprognostic (3.65e-1)	unprognostic (1.13e-1)	prognostic unfavourable (1.71e-6)	unprognostic (4.44e-1)	unprognostic (1.28e-1)	unprognostic (2.42e-3)	unprognostic (6.03e-2)
MASTL	Q96GX5	unprognostic (4.10e-2)	unprognostic (6.89e-2)	unprognostic (1.22e-2)	unprognostic (3.14e-3)	unprognostic (3.67e-1)	unprognostic (1.97e-2)	prognostic unfavourable (2.52e-6)	unprognostic (2.19e-2)	unprognostic (4.00e-2)	unprognostic (4.05e-2)	prognostic unfavourable (4.81e-5)	unprognostic (3.78e-2)	prognostic unfavourable (1.71e-6)	unprognostic (1.55e-3)	unprognostic (2.27e-1)	unprognostic (2.66e-1)	unprognostic (1.79e-1)
NR3C1	P04150	unprognostic (1.38e-1)	unprognostic (1.93e-1)	unprognostic (1.17e-1)	prognostic unfavourable (3.64e-5)	unprognostic (1.43e-2)	unprognostic (2.74e-1)	unprognostic (4.19e-1)	unprognostic (1.39e-1)	unprognostic (2.46e-2)	unprognostic (3.87e-2)	unprognostic (2.15e-1)	unprognostic (6.85e-2)	prognostic unfavourable (1.72e-6)	unprognostic (9.06e-3)	unprognostic (1.02e-1)	unprognostic (2.43e-3)	unprognostic (2.45e-2)
PDE3A	Q14432	unprognostic (2.59e-2)	unprognostic (2.94e-2)	unprognostic (1.25e-1)	unprognostic (3.23e-1)	unprognostic (2.27e-1)	unprognostic (1.21e-1)	unprognostic (3.50e-2)	unprognostic (1.67e-2)	unprognostic (8.14e-2)	unprognostic (1.49e-1)	unprognostic (4.25e-1)	unprognostic (3.37e-1)	prognostic unfavourable (1.72e-6)	unprognostic (5.58e-2)	unprognostic (5.94e-2)	unprognostic (4.28e-2)	unprognostic (2.76e-4)
CDH13	P55290	unprognostic (2.50e-2)	unprognostic (2.75e-2)	unprognostic (5.61e-2)	unprognostic (4.06e-1)	unprognostic (4.88e-2)	unprognostic (3.30e-3)	unprognostic (3.01e-1)	unprognostic (5.76e-2)	unprognostic (3.49e-2)	unprognostic (3.34e-1)	unprognostic (2.21e-1)	unprognostic (3.26e-1)	prognostic unfavourable (1.73e-6)	unprognostic (5.16e-3)	unprognostic (2.01e-1)	unprognostic (1.25e-1)	unprognostic (1.21e-1)
METTL26	Q96S19	unprognostic (1.65e-1)	unprognostic (3.76e-2)	unprognostic (3.35e-1)	unprognostic (1.52e-1)	unprognostic (1.92e-1)	unprognostic (2.13e-1)	unprognostic (6.27e-2)	unprognostic (6.93e-2)	unprognostic (6.21e-2)	unprognostic (1.20e-1)	unprognostic (4.71e-2)	unprognostic (3.23e-1)	prognostic unfavourable (1.73e-6)	unprognostic (2.59e-1)	unprognostic (1.37e-1)	unprognostic (2.53e-1)	unprognostic (2.72e-2)
GZMH	P20718	unprognostic (3.72e-3)	unprognostic (1.47e-3)	unprognostic (5.35e-2)	prognostic favourable (2.00e-6)	unprognostic (8.80e-2)	unprognostic (1.65e-3)	unprognostic (2.08e-3)	unprognostic (1.13e-1)	unprognostic (1.62e-2)	unprognostic (4.41e-2)	unprognostic (1.14e-1)	unprognostic (2.68e-1)	prognostic unfavourable (1.74e-6)	unprognostic (1.23e-1)	unprognostic (1.80e-1)	unprognostic (3.35e-2)	unprognostic (2.77e-3)
EPB41	P11171	unprognostic (2.16e-1)	unprognostic (1.96e-1)	unprognostic (8.92e-3)	prognostic unfavourable (4.58e-4)	unprognostic (5.00e-2)	prognostic favourable (5.87e-4)	unprognostic (5.01e-3)	unprognostic (5.40e-3)	unprognostic (2.52e-2)	unprognostic (6.65e-2)	unprognostic (7.81e-2)	unprognostic (1.42e-2)	prognostic unfavourable (1.75e-6)	unprognostic (2.66e-2)	unprognostic (2.42e-1)	unprognostic (1.22e-1)	unprognostic (6.67e-2)
LUM	P51884	unprognostic (5.54e-2)	unprognostic (2.27e-1)	unprognostic (3.32e-1)	unprognostic (2.75e-1)	unprognostic (1.65e-1)	unprognostic (8.38e-2)	unprognostic (1.09e-1)	unprognostic (2.87e-1)	unprognostic (4.08e-2)	unprognostic (1.19e-1)	unprognostic (1.65e-2)	unprognostic (2.20e-2)	prognostic unfavourable (1.75e-6)	unprognostic (5.25e-3)	unprognostic (2.27e-2)	unprognostic (2.38e-2)	unprognostic (2.06e-2)
ACKR3	P25106	unprognostic (1.65e-2)	prognostic unfavourable (4.64e-4)	unprognostic (2.50e-1)	unprognostic (1.92e-3)	unprognostic (2.10e-1)	unprognostic (1.23e-1)	unprognostic (7.34e-3)	unprognostic (1.55e-2)	unprognostic (1.85e-2)	unprognostic (1.35e-1)	unprognostic (9.70e-3)	unprognostic (6.69e-2)	prognostic unfavourable (1.76e-6)	prognostic unfavourable (2.01e-4)	unprognostic (9.71e-2)	unprognostic (8.57e-3)	prognostic unfavourable (2.93e-4)
SH3D21	A4FU49	prognostic favourable (2.60e-4)	unprognostic (8.35e-3)	unprognostic (3.86e-3)	unprognostic (9.01e-2)	unprognostic (2.07e-3)	unprognostic (7.32e-3)	unprognostic (2.04e-4)	unprognostic (7.47e-2)	unprognostic (3.47e-2)	unprognostic (1.01e-1)	unprognostic (2.43e-2)	unprognostic (7.38e-3)	prognostic unfavourable (1.76e-6)	unprognostic (8.88e-2)	unprognostic (2.25e-1)	unprognostic (7.99e-2)	unprognostic (8.59e-2)
C1orf159	Q96HA4	unprognostic (2.79e-1)	unprognostic (9.46e-2)	unprognostic (5.43e-2)	unprognostic (1.16e-1)	unprognostic (2.12e-1)	unprognostic (2.60e-3)	prognostic unfavourable (9.58e-6)	unprognostic (1.34e-1)	unprognostic (3.09e-1)	unprognostic (2.04e-2)	unprognostic (9.29e-2)	unprognostic (3.26e-3)	prognostic unfavourable (1.77e-6)	unprognostic (4.10e-2)	unprognostic (1.81e-1)	unprognostic (7.56e-2)	prognostic favourable (1.62e-4)
TMCC1	O94876	unprognostic (4.26e-2)	unprognostic (1.38e-1)	unprognostic (1.48e-1)	unprognostic (1.23e-1)	unprognostic (2.60e-2)	unprognostic (2.71e-1)	prognostic unfavourable (9.15e-4)	unprognostic (7.75e-3)	unprognostic (1.13e-1)	unprognostic (3.25e-2)	prognostic unfavourable (1.87e-4)	unprognostic (2.50e-2)	prognostic unfavourable (1.77e-6)	unprognostic (6.82e-3)	unprognostic (2.90e-1)	unprognostic (1.20e-1)	unprognostic (2.32e-1)
MEIS3	Q99687	unprognostic (3.27e-3)	unprognostic (2.98e-1)	unprognostic (2.13e-2)	unprognostic (4.49e-1)	unprognostic (3.16e-1)	unprognostic (4.67e-2)	unprognostic (2.12e-2)	unprognostic (5.93e-3)	unprognostic (1.21e-1)	unprognostic (2.73e-2)	unprognostic (1.58e-2)	unprognostic (9.76e-2)	prognostic unfavourable (1.78e-6)	unprognostic (9.29e-3)	unprognostic (9.21e-3)	unprognostic (4.36e-2)	unprognostic (3.80e-3)
HIST1H3D	P68431	unprognostic (8.64e-2)	unprognostic (1.27e-2)	unprognostic (9.06e-3)	unprognostic (2.00e-1)	unprognostic (6.59e-2)	unprognostic (1.43e-2)	unprognostic (8.62e-2)	unprognostic (1.56e-1)	unprognostic (2.95e-1)	unprognostic (2.69e-2)	unprognostic (2.80e-1)	unprognostic (1.32e-1)	prognostic unfavourable (1.78e-6)	unprognostic (2.44e-1)	unprognostic (1.24e-1)	unprognostic (1.28e-1)	unprognostic (4.94e-2)
